Column Names::Language	UnicodeBlock	StartCode	EndCode

Assamese	BENGALI	0980	09FF

Bengali	BENGALI	0980	09FF

English	BASIC_LATIN	0000	007F

Gujarati	GUJARATI	0A80	0AFF

Hindi	DEVANAGARI	0900	097F
Marathi	DEVANAGARI	0900	097F
Nepali	DEVANAGARI	0900	097F

Kannada	KANNADA	0C80	0CFF

Kashmiri	ARABIC	0600	06FF

Malayalam	MALAYALAM	0D00	0D7F

Marathi	DEVANAGARI	0900	097F

Oriya	ORIYA	0B00	0B7F

Punjabi	GURMUKHI	0A00	0A7F

Tamil	TAMIL	0B80	0BFF

Telugu	TELUGU	0C00	0C7F

Urdu	ARABIC	0600	06FF

Sindhi	ARABIC	0600	06FF

