Column Count::10
Column Names::isc-code	hin::utf8	ben::utf8	gur::utf8	guj::utf8	ori::utf8	tam::utf8	tel::utf8	kan::utf8	mal::utf8
161	ँ	ঁ		ઁ	ଁ	ँ	ఁ		
162	ं	ং	ਂ	ં	ଂ	ं	ం	ಂ	ം
163	ः	ঃ		ઃ	ଃ	ः	ః	ಃ	ഃ
164	अ	অ	ਅ	અ	ଅ	अ	అ	ಅ	അ
165	आ	আ	ਆ	આ	ଆ	आ	ఆ	ಆ	ആ
166	इ	ই	ਇ	ઇ	ଇ	इ	ఇ	ಇ	ഇ
167	ई	ঈ	ਈ	ઈ	ଈ	ई	ఈ	ಈ	ഈ
168	उ	উ	ਉ	ઉ	ଉ	उ	ఉ	ಉ	ഉ
169	ऊ	ঊ	ਊ	ઊ	ଊ	ऊ	ఊ	ಊ	ഊ
170	ऋ	ঋ		ઋ	ଋ	ऋ	ఋ	ಋ	ഋ
171	ऎ					ऎ	ఎ	ಎ	എ
172	ए	এ	ਏ	એ	ଏ	ए	ఏ	ಏ	ഏ
173	ऐ	ঐ	ਐ	ઐ	ଐ	ऐ	ఐ	ಐ	ഐ
174	ऍ			ઍ		ऍ			
175	ऒ					ऒ	ఒ	ಒ	ഒ
176	ओ	ও	ਓ	ઓ	ଓ	ओ	ఓ	ಓ	ഓ
177	औ	ঔ	ਔ	ઔ	ଔ	औ	ఔ	ಔ	ഔ
178	ऑ			ઑ		ऑ			
179	क	ক	ਕ	ક	କ	क	క	ಕ	ക
180	ख	খ	ਖ	ખ	ଖ	ख	ఖ	ಖ	ഖ
181	ग	গ	ਗ	ગ	ଗ	ग	గ	ಗ	ഗ
182	घ	ঘ	ਘ	ઘ	ଘ	घ	ఘ	ಘ	ഘ
183	ङ	ঙ	ਙ	ઙ	ଙ	ङ	ఙ	ಙ	ങ
184	च	চ	ਚ	ચ	ଚ	च	చ	ಚ	ച
185	छ	ছ	ਛ	છ	ଛ	छ	ఛ	ಛ	ഛ
186	ज	জ	ਜ	જ	ଜ	ज	జ	ಜ	ജ
187	झ	ঝ	ਝ	ઝ	ଝ	झ	ఝ	ಝ	ഝ
188	ञ	ঞ	ਞ	ઞ	ଞ	ञ	ఞ	ಞ	ഞ
189	ट	ট	ਟ	ટ	ଟ	ट	ట	ಟ	ട
190	ठ	ঠ	ਠ	ઠ	ଠ	ठ	ఠ	ಠ	ഠ
